"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" А ,илоб то как ,ьсоламижс онтеперт";"еынделб";"трепетно сжималось, как от боли, А";"бледные";" ";"цветы качали головой, И вновь мечтала";"А. А. Ахматова. Лилии  («Я лилий нарвала прекрасных и душистых…») (22.06.1904)";"А. А. Ахматова";"1889";"Лилии  («Я лилий нарвала прекрасных и душистых…»)";"22.06.1904";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"";"54";"И сердце трепетно сжималось, как от боли, А бледные цветы качали головой, И вновь мечтала я о той далекой воле, О той стране, где я была с тобой…  22 июня 1904 Одесса";"a2c11807b10d57d62692e1812fc88ea6:2:8"
" даН";"юонреч";"Над";"черною";" ";"бездной с тобою я шла, Мерцая";"А. А. Ахматова. «Над черною бездной с тобою я шла…» (24.07.1904)";"А. А. Ахматова";"1889";"«Над черною бездной с тобою я шла…»";"24.07.1904";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"65";"Над черною бездной с тобою я шла, Мерцая, зарницы сверкали.";"11af7925920abd8e8783eb59df9f22c4:1:1"
" А ,атевс огоннул еенчарзорП ,алыб йотсич";"яанреч";"чистой была, Прозрачнее лунного света, А";"черная";" ";"бездна, проснувшись, ждала В молчании страсти";"А. А. Ахматова. «Над черною бездной с тобою я шла…» (24.07.1904)";"А. А. Ахматова";"1889";"«Над черною бездной с тобою я шла…»";"24.07.1904";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"65";"И песня любви нашей чистой была, Прозрачнее лунного света, А черная бездна, проснувшись, ждала В молчании страсти обета.";"11af7925920abd8e8783eb59df9f22c4:3:10"
" ьшиЛ ,тунамбо – ьширевоп ыТ";"еынрузал";"Ты поверишь – обманут, Лишь";"лазурные";" ";"станут И нежнее и ярче они";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"Ты поверишь – обманут, Лишь лазурные станут И нежнее и ярче они ― Голубого сиянья огни.";"e8a9b3036afd6d77dd8dac93238fa282:11:4"
" и еенжен И тунатс еынрузал ьшиЛ";"ечря";"Лишь лазурные станут И нежнее и";"ярче";" ";"они ― Голубого сиянья огни.";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"Ты поверишь – обманут, Лишь лазурные станут И нежнее и ярче они ― Голубого сиянья огни.";"e8a9b3036afd6d77dd8dac93238fa282:11:9"
" ― ино ечря и еенжен И тунатс";"огобулоГ";"станут И нежнее и ярче они ―";"Голубого";" ";"сиянья огни.";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"Ты поверишь – обманут, Лишь лазурные станут И нежнее и ярче они ― Голубого сиянья огни.";"e8a9b3036afd6d77dd8dac93238fa282:11:11"
" – хиом хатсу в И";"яала";"И в устах моих –";"алая";" ";"нега.";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"И в устах моих – алая нега.";"e8a9b3036afd6d77dd8dac93238fa282:12:4"
" ьдурГ";"еелеб";"Грудь";"белее";" ";"нагорного снега.";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"Грудь белее нагорного снега.";"e8a9b3036afd6d77dd8dac93238fa282:13:1"
" тепел – солоГ";"хыверозал";"Голос – лепет";"лазоревых";" ";"струй.";"А. А. Ахматова. « Я умею любить…» (1906)";"А. А. Ахматова";"1889";"« Я умею любить…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"17";"102";"Голос – лепет лазоревых струй. Я умею любить.";"e8a9b3036afd6d77dd8dac93238fa282:14:2"
" зИ";"хылеб";"Из";"белых";" ";"роз не свей венок, Венок душисто";"А. А. Ахматова. «Весенний воздух властно смел…» (1906)";"А. А. Ахматова";"1889";"«Весенний воздух властно смел…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"2";"23";"Из белых роз не свей венок, Венок душисто-снежных роз, Ты тоже в мире одинок, Ненужной жизни тяжесть нес.   Начало 1900-х годов ― lt; 1906> Крым";"4dcdecf8765a31f4cfc79dd05df3fd45:1:1"
