"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" В атянгя илагырп И ,евтсил в";"йонелез";"в листве, И прыгали ягнята В";"зеленой";" ";"мураве.";"А. А. Блок. «Вот май опять повеял…» (1921)";"А. А. Блок";"1880";"«Вот май опять повеял…»";"1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"";"46";"И соловьев раскаты Опять зазвучали в листве, И прыгали ягнята В зеленой мураве.";"a3d843581e62cc95cbefdeeb8deec4b8:1:11"
" в оТ :монрог дан чем тиварп";"йынсарк";"правит меч над горном: То в";"красный";" ";"уголь обратит, То быстро в воду";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Так Зигфрид правит меч над горном: То в красный уголь обратит, То быстро в воду погрузит ― И зашипит и станет черным Любимцу вверенный клинок…";"9bc81f24bb431684d7122726a63b57f7:14:8"
" тенатс и типишаз И ― тизургоп удов";"мынреч";"воду погрузит ― И зашипит и станет";"черным";" ";"Любимцу вверенный клинок…";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Так Зигфрид правит меч над горном: То в красный уголь обратит, То быстро в воду погрузит ― И зашипит и станет черным Любимцу вверенный клинок…";"9bc81f24bb431684d7122726a63b57f7:14:20"
" етофашэ ан но ― маТ ;теадоп яьнусялп";"монреч";"плясунья подает; Там ― он на эшафоте";"черном";" ";"Слагает голову свою; Здесь ― именем клеймят";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Вот ― голову его на блюде Царю плясунья подает; Там ― он на эшафоте черном Слагает голову свою; Здесь ― именем клеймят позорным Его стихи…";"9bc81f24bb431684d7122726a63b57f7:25:12"
" ьвокрец ьтсуП";"яанмет";"Пусть церковь";"темная";" ";"пуста, Пусть пастырь спит; я до";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Пусть церковь темная пуста, Пусть пастырь спит; я до обедни Пройду росистую межу, Ключ ржавый поверну в затворе И в алом от зари притворе Свою обедню отслужу.";"9bc81f24bb431684d7122726a63b57f7:27:2"
" в И еровтаз в унревоп йыважр";"мола";"ржавый поверну в затворе И в";"алом";" ";"от зари притворе Свою обедню отслужу.";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Пусть церковь темная пуста, Пусть пастырь спит; я до обедни Пройду росистую межу, Ключ ржавый поверну в затворе И в алом от зари притворе Свою обедню отслужу.";"9bc81f24bb431684d7122726a63b57f7:27:20"
" ытеваЗ ынся жу и ― ,аневз ирт";"йонмет";"три звена, ― и уж ясны Заветы";"темной";" ";"старины: Созрела новая порода, ― Угль превращается";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Сыны отражены в отцах: Коротенький обрывок рода ― Два-три звена, ― и уж ясны Заветы темной старины: Созрела новая порода, ― Угль превращается в алмаз.";"9bc81f24bb431684d7122726a63b57f7:31:14"
" ,йечипс хыньлотсаЗ ,йицаредеф ,вокнаб ,воссергноК ,нирткод";"хынсарк";"доктрин, Конгрессов, банков, федераций, Застольных спичей,";"красных";" ";"слов, Век акций, рент и облигаций";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"С тобой пришли чуме на смену Нейрастения, скука, сплин, Век расшибанья лбов о стену Экономических доктрин, Конгрессов, банков, федераций, Застольных спичей, красных слов, Век акций, рент и облигаций, И малодейственных умов, И дарований половинных (Так справедливей ― пополам!),";"9bc81f24bb431684d7122726a63b57f7:38:21"
" илерз ьседЗ автстарб и автсневар моканз";"еынмет";"знаком равенства и братства Здесь зрели";"темные";" ";"дела…";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Под знаком равенства и братства Здесь зрели темные дела…";"9bc81f24bb431684d7122726a63b57f7:41:7"
" в ,маТ :намут йиксечитсинамуГ яалысан ,лалед";"морес";"делал, насылая Гуманистический туман: Там, в";"сером";" ";"и гнилом тумане, Увяла плоть, и";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Но тот, кто двигал, управляя Марионетками всех стран, ― Тот знал, что делал, насылая Гуманистический туман: Там, в сером и гнилом тумане, Увяла плоть, и дух погас, И ангел сам священной брани, Казалось, отлетел от нас: Там ― распри кровные решают Дипломатическим умом, Там ― пушки новые мешают Сойтись лицом к лицу с врагом, Там ― вместо храбрости ― нахальство, А вместо подвигов ― «психоз», И вечно ссорится начальство, И длинный громоздко́й обоз Воло́чит за собой команда, Штаб, интендантов, грязь кляня, Рожком горниста ― рог Роланда И шлем ― фуражкой заменя…";"9bc81f24bb431684d7122726a63b57f7:44:17"
" ещЕ( алгм инзиж ееншартс ещЕ ,йенмодзеб";"еенреч";"бездомней, Еще страшнее жизни мгла (Еще";"чернее";" ";"и огромней Тень Люцеферова крыла).";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"Еще бездомней, Еще страшнее жизни мгла (Еще чернее и огромней Тень Люцеферова крыла).";"9bc81f24bb431684d7122726a63b57f7:49:7"
" И";"яанреч";"И";"черная";", ";"земная кровь Сулит нам, раздувая вены";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"И черная, земная кровь Сулит нам, раздувая вены, Все разрушая рубежи, Неслыханные перемены, Невиданные мятежи…";"9bc81f24bb431684d7122726a63b57f7:52:1"
" еикаК ,умыд мовохороп в ,енго В";"еынненго";"В огне, в пороховом дыму, Какие";"огненные";" ";"дали Открылись взору твоему?";"А. А. Блок. Возмездие  («Жизнь — без начала и конца…») (1910-1921)";"А. А. Блок";"1880";"Возмездие  («Жизнь — без начала и конца…»)";"1910-1921";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"468";"6812";"― За ревом стали, В огне, в пороховом дыму, Какие огненные дали Открылись взору твоему?";"9bc81f24bb431684d7122726a63b57f7:54:9"
