"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" екармус в олыБ ,илетсоп ан иледр";"олтевс";"рдели на постели, Было в сумраке";"светло";".  ";"";"В. Я. Брюсов. «Это было? Неужели?..» (1893)";"В. Я. Брюсов";"1873";"«Это было? Неужели?..»";"1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"12";"67";"Звезды рдели на постели, Было в сумраке светло.";"c52c227c8312ab0a25a01e79f52e8b8c:4:7"
" кармус ьзовкс ,ьраноф И ― ,енм ок";"йынреч";"ко мне, ― И фонарь, сквозь сумрак";"черный";", ";"Был так явственен в окне.";"В. Я. Брюсов. «Это было? Неужели?..» (1893)";"В. Я. Брюсов";"1873";"«Это было? Неужели?..»";"1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"12";"67";"Странно-нежной и покорной Приникала ты ко мне, ― И фонарь, сквозь сумрак черный, Был так явственен в окне.";"c52c227c8312ab0a25a01e79f52e8b8c:7:12"
" алапыс ыдзевЗ ,алитевс ьвобюл ― ,ьраноф еН";"олтевс";"Не фонарь, ― любовь светила, Звезды сыпала";"светло";"…  ";"";"В. Я. Брюсов. «Это было? Неужели?..» (1893)";"В. Я. Брюсов";"1873";"«Это было? Неужели?..»";"1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"12";"67";"Не фонарь, ― любовь светила, Звезды сыпала светло…";"c52c227c8312ab0a25a01e79f52e8b8c:8:6"
"";"еытситолоЗ";"";"Золотистые";" ";"феи В атласном саду!";"В. Я. Брюсов. Самоуверенность  («Золотистые феи…») (10.02.1893)";"В. Я. Брюсов";"1873";"Самоуверенность  («Золотистые феи…»)";"10.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"7";"42";"САМОУВЕРЕННОСТЬ Золотистые феи В атласном саду!";"a7ca926e716fb2cf0df8aa9e305ddeaf:1:0"
" дяан хыннелбюлВ";"еытсирбереС";"Влюбленных наяд";"Серебристые";" ";"всплёски!";"В. Я. Брюсов. Самоуверенность  («Золотистые феи…») (10.02.1893)";"В. Я. Брюсов";"1873";"Самоуверенность  («Золотистые феи…»)";"10.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"7";"42";"Когда я найду Ледяные аллеи? Влюбленных наяд Серебристые всплёски! Где ревнивые доски Вам путь преградят?";"a7ca926e716fb2cf0df8aa9e305ddeaf:3:2"
" довс тедж ен И ,ынру еыньлабергоП";"йынрузал";"Погребальные урны, И не ждет свод";"лазурный";" ";"Обманчивых звезд.  10 февраля 1893";"В. Я. Брюсов. Самоуверенность  («Золотистые феи…») (10.02.1893)";"В. Я. Брюсов";"1873";"Самоуверенность  («Золотистые феи…»)";"10.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"7";"42";"За мраком завес Погребальные урны, И не ждет свод лазурный Обманчивых звезд.  10 февраля 1893";"a7ca926e716fb2cf0df8aa9e305ddeaf:6:9"
" тунсаГ";"еывозор";"Гаснут";"розовые";" ";"краски В бледном отблеске луны; Замерзают";"В. Я. Брюсов. Осеннее чувство  («Гаснут розовые краски…») (19.02.1893)";"В. Я. Брюсов";"1873";"Осеннее чувство  («Гаснут розовые краски…»)";"19.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"5";"53";"Гаснут розовые краски В бледном отблеске луны; Замерзают в льдинах сказки О страданиях весны;";"2e32cb01fa3821bcabd15d7fdbef88ef:1:1"
" В иксарк еывозор тунсаГ";"монделб";"Гаснут розовые краски В";"бледном";" ";"отблеске луны; Замерзают в льдинах сказки";"В. Я. Брюсов. Осеннее чувство  («Гаснут розовые краски…») (19.02.1893)";"В. Я. Брюсов";"1873";"Осеннее чувство  («Гаснут розовые краски…»)";"19.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"5";"53";"Гаснут розовые краски В бледном отблеске луны; Замерзают в льдинах сказки О страданиях весны;";"2e32cb01fa3821bcabd15d7fdbef88ef:1:4"
"";"хылтевС";"";"Светлых";" ";"вымыслов развязки В черный креп облечены";"В. Я. Брюсов. Осеннее чувство  («Гаснут розовые краски…») (19.02.1893)";"В. Я. Брюсов";"1873";"Осеннее чувство  («Гаснут розовые краски…»)";"19.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"5";"53";"Светлых вымыслов развязки В черный креп облечены, И на празднествах все пляски Ликом смерти смущены.";"2e32cb01fa3821bcabd15d7fdbef88ef:2:0"
" В икзявзар волсымыв хылтевС";"йынреч";"Светлых вымыслов развязки В";"черный";" ";"креп облечены, И на празднествах все";"В. Я. Брюсов. Осеннее чувство  («Гаснут розовые краски…») (19.02.1893)";"В. Я. Брюсов";"1873";"Осеннее чувство  («Гаснут розовые краски…»)";"19.02.1893";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"5";"53";"Светлых вымыслов развязки В черный креп облечены, И на празднествах все пляски Ликом смерти смущены.";"2e32cb01fa3821bcabd15d7fdbef88ef:2:4"
