"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" умечоП ";"онмет";"Почему";"темно";"? ";"";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"― Расскажите, Что здесь такое?  Почему темно? И почему вы на волне сидитесь Мне быть во тьме случалось иногда, Но холод здесь…";"fb6fb65b167d52b056cb1fbc11e92bdd:16:1"
" могурК";"онреч";"Кругом";"черно";", ";"черней китайской туши, Я, как вошел";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Кругом черно, черней китайской туши, Я, как вошел, ― чуть не ослеп совсем.";"fb6fb65b167d52b056cb1fbc11e92bdd:23:1"
" ,онреч могурК";"йенреч";"Кругом черно,";"черней";" ";"китайской туши, Я, как вошел, ― чуть";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Кругом черно, черней китайской туши, Я, как вошел, ― чуть не ослеп совсем.";"fb6fb65b167d52b056cb1fbc11e92bdd:23:2"
"-отсилгм ,еж йот есв енлов ан";"йонреч";"на волне все той же, мглисто-";"черной";", ";"Не очень-то спокойны.";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Не понимаю также я, зачем Вы на волне все той же, мглисто-черной, Не очень-то спокойны.";"fb6fb65b167d52b056cb1fbc11e92bdd:26:12"
" от-ьнечо еН ,йонреч-отсилгм ,еж";"ынйокопс";"же, мглисто-черной, Не очень-то";"спокойны";".  ";"";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Не понимаю также я, зачем Вы на волне все той же, мглисто-черной, Не очень-то спокойны.";"fb6fb65b167d52b056cb1fbc11e92bdd:26:16"
" в ьрепет ужиС";"йондолох";"Сижу теперь в";"холодной";" ";"темноте, За них, а также и";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Сижу теперь в холодной темноте, За них, а также и за их прикрытье.";"fb6fb65b167d52b056cb1fbc11e92bdd:69:3"
" евтсрац в ,енаеко в ,ьседЗ ,мин";"йонмет";"ним, Здесь, в океане, в царстве";"темной";" ";"мути!";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Да хоть бы здесь мне не столкнуться с ним, Здесь, в океане, в царстве темной мути!";"fb6fb65b167d52b056cb1fbc11e92bdd:120:14"
" янем гурков умотоп А";"онмет";"А потому вокруг меня";"темно";"… ";"";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Я знал, что от любви мне все дано, Но этого и не желал признать я, А потому вокруг меня темно… Когда б не знал ― ведь был бы я невинней, Я это понял в темноте давно,";"fb6fb65b167d52b056cb1fbc11e92bdd:150:4"
" тотэ еН енын иман дерп ,ьтыб";"йынтум";"быть, пред нами ныне Не этот";"мутный";", ";"черный океан, ― Совсем другой, приветливый и";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"И был бы, может быть, пред нами ныне Не этот мутный, черный океан, ― Совсем другой, приветливый и синий…";"fb6fb65b167d52b056cb1fbc11e92bdd:152:10"
" ,йынтум тотэ еН енын иман дерп";"йынреч";"пред нами ныне Не этот мутный,";"черный";" ";"океан, ― Совсем другой, приветливый и синий…";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"И был бы, может быть, пред нами ныне Не этот мутный, черный океан, ― Совсем другой, приветливый и синий…";"fb6fb65b167d52b056cb1fbc11e92bdd:152:11"
