"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" зи такаЗ";"оготолоз";"Закат из";"золотого";" ";"стал как медь, Покрылись облака зеленой";"Н. С. Гумилев. «Закат из золотого стал как медь…» [Душа и тело, 2] (1921)";"Н. С. Гумилев";"1886";"«Закат из золотого стал как медь…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"6";"103";"Закат из золотого стал как медь, Покрылись облака зеленой ржою, И телу я сказал тогда: «Ответь На все, провозглашенное душою».";"0d10916c3a7a90fddb67c6dad6e75df5:1:2"
" акалбо ьсилыркоП ,ьдем как латс оготолоз";"йонелез";"золотого стал как медь, Покрылись облака";"зеленой";" ";"ржою, И телу я сказал тогда";"Н. С. Гумилев. «Закат из золотого стал как медь…» [Душа и тело, 2] (1921)";"Н. С. Гумилев";"1886";"«Закат из золотого стал как медь…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"6";"103";"Закат из золотого стал как медь, Покрылись облака зеленой ржою, И телу я сказал тогда: «Ответь На все, провозглашенное душою».";"0d10916c3a7a90fddb67c6dad6e75df5:1:8"
" цясем илсе ,теов йыротоК ,сеп немузар";"летевс";"разумен пес, Который воет, если месяц";"светел";"?  ";"";"Н. С. Гумилев. «Когда же слово Бога с высоты…» [Душа и тело, 3] (1921)";"Н. С. Гумилев";"1886";"«Когда же слово Бога с высоты…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"7";"102";"На них я взоры медленно вознес И милостиво дерзостным ответил: «Скажите мне, ужель разумен пес, Который воет, если месяц светел?";"b67a2d7e5a7e243510147b6c1ffc6f04:3:19"
" оД янд огонмез оговреп то корс";"огонненго";"срок от первого земного дня До";"огненного";" ";"светопреставленья?";"Н. С. Гумилев. «Когда же слово Бога с высоты…» [Душа и тело, 3] (1921)";"Н. С. Гумилев";"1886";"«Когда же слово Бога с высоты…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"7";"102";"Ужели вам допрашивать меня, Меня, кому единое мгновенье ― Весь срок от первого земного дня До огненного светопреставленья?";"b67a2d7e5a7e243510147b6c1ffc6f04:4:15"
" и йеннемалп ецнлоС еренеВ едзевз йокелад";"йетситолоз";"далекой звезде Венере Солнце пламенней и";"золотистей";".  ";"";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"На далекой звезде Венере Солнце пламенней и золотистей.";"1eee6aeccc6fb6cfe8e0892fc55b18cf:0:7"
" веьверед У еренеВ ан ,ха ,еренеВ";"еинис";"Венере, ах, на Венере У деревьев";"синие";" ";"листья.";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"На Венере, ах, на Венере У деревьев синие листья.";"1eee6aeccc6fb6cfe8e0892fc55b18cf:1:7"
" еар менверд о ― »оа« ,»оУ« ";"еотолоЗ";"«Уо», «ао» ― о древнем рае";"Золотое";" ";"воспоминанье.";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"«Уо», «ао» ― о древнем рае Золотое воспоминанье.";"1eee6aeccc6fb6cfe8e0892fc55b18cf:6:5"
" тюаджулб И";"еытолоз";"И блуждают";"золотые";" ";"дымы В синих, синих вечерних кущах";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"И блуждают золотые дымы В синих, синих вечерних кущах Иль, как радостные пилигримы, Навещают еще живущих.  <1921>";"1eee6aeccc6fb6cfe8e0892fc55b18cf:9:2"
" В ымыд еытолоз тюаджулб И";"хинис";"И блуждают золотые дымы В";"синих";", ";"синих вечерних кущах Иль, как радостные";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"И блуждают золотые дымы В синих, синих вечерних кущах Иль, как радостные пилигримы, Навещают еще живущих.  <1921>";"1eee6aeccc6fb6cfe8e0892fc55b18cf:9:5"
" ,хинис В ымыд еытолоз тюаджулб И";"хинис";"И блуждают золотые дымы В синих,";"синих";" ";"вечерних кущах Иль, как радостные пилигримы";"Н. С. Гумилев. «На далекой звезде Венере…» (1921)";"Н. С. Гумилев";"1886";"«На далекой звезде Венере…»";"1921";"художественная";"";"";"";"1988";"книга";"омонимия не снята";"";"10";"101";"И блуждают золотые дымы В синих, синих вечерних кущах Иль, как радостные пилигримы, Навещают еще живущих.  <1921>";"1eee6aeccc6fb6cfe8e0892fc55b18cf:9:6"
