"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" йом ,ароН ,акженсолеБ яом ,ароН";"йынженс";"Нора, моя Белоснежка, Нора, мой";"снежный";" ";"цветик, Мой облачный барашек.";"Е. Г. Гуро. «Нора, моя Белоснежка…» (1913)";"Е. Г. Гуро";"1877";"«Нора, моя Белоснежка…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"5";"73";"Нора, моя Белоснежка, Нора, мой снежный цветик, Мой облачный барашек.";"93e5615e886d0e9177972c75c14d5e23:1:5"
" ,ыт хО";"яанженс";"Ох ты,";"снежная";" ";"королева, Облачное руно, Нежное перышко, Ты";"Е. Г. Гуро. «Нора, моя Белоснежка…» (1913)";"Е. Г. Гуро";"1877";"«Нора, моя Белоснежка…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"5";"73";"Ох ты, снежная королева, Облачное руно, Нежное перышко, Ты, горный эдельвейс, Нора, моя мерцающая волна, Нора, мой сладко мерцающий сон!";"93e5615e886d0e9177972c75c14d5e23:2:2"
" еоМ";"еонженс";"Мое";"снежное";" ";"облако, Моя снежная сказка, Эдельвейс с";"Е. Г. Гуро. «Нора, моя Белоснежка…» (1913)";"Е. Г. Гуро";"1877";"«Нора, моя Белоснежка…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"5";"73";"Мое снежное облако, Моя снежная сказка, Эдельвейс с горы, Много милее тебя!(1913)";"93e5615e886d0e9177972c75c14d5e23:4:1"
" яоМ ,окалбо еонженс еоМ";"яанженс";"Мое снежное облако, Моя";"снежная";" ";"сказка, Эдельвейс с горы, Много милее";"Е. Г. Гуро. «Нора, моя Белоснежка…» (1913)";"Е. Г. Гуро";"1877";"«Нора, моя Белоснежка…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"5";"73";"Мое снежное облако, Моя снежная сказка, Эдельвейс с горы, Много милее тебя!(1913)";"93e5615e886d0e9177972c75c14d5e23:4:4"
" еинеживд ,иксод мецнлос миннесев дан илхитС";"мынсарк";"Стихли над весенним солнцем доски, движение";"красным";" ";"воскликом мчалось.";"Е. Г. Гуро. «Стихли над весенним солнцем доски…» (1913)";"Е. Г. Гуро";"1877";"«Стихли над весенним солнцем доски…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"7";"53";"Стихли над весенним солнцем доски, движение красным воскликом мчалось.";"09a5a3b1df666e48d82f0da0b2e91851:0:6"
" с икшувед И ,доваз йонвип ииднялруК";"имынреч";"Курляндии пивной завод, И девушки с";"черными";" ";"косами.(1913)";"Е. Г. Гуро. «Стихли над весенним солнцем доски…» (1913)";"Е. Г. Гуро";"1877";"«Стихли над весенним солнцем доски…»";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"7";"53";"В Курляндии пивной завод, И девушки с черными косами.(1913)";"09a5a3b1df666e48d82f0da0b2e91851:6:7"
" ан тижеЛ зор хиннесев конеВ";"мовозор";"Венок весенних роз Лежит на";"розовом";" ";"озере.";"Е. Г. Гуро. Из сладостных  («Венок весенних роз…») (1913)";"Е. Г. Гуро";"1877";"Из сладостных  («Венок весенних роз…»)";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"17";"123";"Венок весенних роз Лежит на розовом озере.";"0f526df5ab2fdee8866bcc157e7e638a:2:5"
" яанжучмеж ьтсонженсолеБ иклаиф иледаз мофйелШ";"оговолиЛ";"Шлейфом задели фиалки Белоснежность жемчужная";"Лилового";" ";"бархата на лугу Зелени майской.";"Е. Г. Гуро. Из сладостных  («Венок весенних роз…») (1913)";"Е. Г. Гуро";"1877";"Из сладостных  («Венок весенних роз…»)";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"17";"123";"Шлейфом задели фиалки Белоснежность жемчужная Лилового бархата на лугу Зелени майской.";"0f526df5ab2fdee8866bcc157e7e638a:4:5"
" янок С";"огоноров";"С коня";"вороного";" ";"спрыгнул, Склонился, пока повяжет Нежный узор";"Е. Г. Гуро. Из сладостных  («Венок весенних роз…») (1913)";"Е. Г. Гуро";"1877";"Из сладостных  («Венок весенних роз…»)";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"17";"123";"С коня вороного спрыгнул, Склонился, пока повяжет Нежный узор «Эдита» Бисером или шелком.";"0f526df5ab2fdee8866bcc157e7e638a:7:2"
" ирузал в тушялп ытраднатШ";"йортсеП";"Штандарты пляшут в лазури";"Пестрой";" ";"улыбкой.";"Е. Г. Гуро. Из сладостных  («Венок весенних роз…») (1913)";"Е. Г. Гуро";"1877";"Из сладостных  («Венок весенних роз…»)";"1913";"художественная";"";"";"";"2002";"книга";"омонимия не снята";"";"17";"123";"Лес копий истомленный, Точно лес мачт победных. Штандарты пляшут в лазури Пестрой улыбкой. Все глаза устремились вперед Чья-то рука в волнении Машет платочком.";"0f526df5ab2fdee8866bcc157e7e638a:14:4"
