"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" мотсеТ йещюаритс онжелирП ,асел зи юушзлопирП";"оголеб";"Приползшую из леса, Прилежно стирающей Тестом";"белого";" ";"хлеба Закон всемирного тяготения!";"В. В. Хлебников. «Приятно видеть…» (1922)";"В. В. Хлебников";"1885";"«Приятно видеть…»";"1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"1";"16";"Приятно видеть Маленькую пыхтящую русалку, Приползшую из леса, Прилежно стирающей Тестом белого хлеба Закон всемирного тяготения!";"34d4b96d13d4cc3b923891d42e4eecc3:0:11"
" И ,елоп авокинбелХ олероГ";"еонненго";"Горело Хлебникова поле, И";"огненное";" ";"Я пылало в темноте.";"В. В. Хлебников. «Я вышел юношей один…» (1922)";"В. В. Хлебников";"1885";"«Я вышел юношей один…»";"1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"6";"66";"Горело Хлебникова поле, И огненное Я пылало в темноте.";"9a0c3fb8f69c58208818a3e0d28b77a2:3:4"
" гярав ,идИ";"йыворус";"Иди, варяг";"суровый";" ";"Нансен, Неси закон и честь.  Начало 1922?";"В. В. Хлебников. «Я вышел юношей один…» (1922)";"В. В. Хлебников";"1885";"«Я вышел юношей один…»";"1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"6";"66";"Иди, варяг суровый Нансен, Неси закон и честь.  Начало 1922?";"9a0c3fb8f69c58208818a3e0d28b77a2:5:2"
" юьворК";"йолпет";"Кровью";"теплой";" ";"замарал Мои руки, деньги шаря.";"В. В. Хлебников. Ночной бал  («Девы подковою топали…») (1922)";"В. В. Хлебников";"1885";"Ночной бал  («Девы подковою топали…»)";"1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"26";"192";"Кровью теплой замарал Мои руки, деньги шаря.";"2d127d41bef4e31204e763d758bca1ad:14:1"
"";"еылеБ";"";"Белые";" ";"крылья сломав, Я с окровавленным мозгом";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"Белые крылья сломав, Я с окровавленным мозгом Упал к белым снегам И терновника розгам.";"3887124ab509173c8a7d5bfc53c20d5c:1:0"
" к лапУ могзом мыннелваворко с Я";"мылеб";"Я с окровавленным мозгом Упал к";"белым";" ";"снегам И терновника розгам.";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"Белые крылья сломав, Я с окровавленным мозгом Упал к белым снегам И терновника розгам.";"3887124ab509173c8a7d5bfc53c20d5c:1:9"
" йенытсорп тырказ ,лажел И";"хылеБ";"И лежал, закрыт простыней";"Белых";" ";"крыл, грубо сломанных оземь.";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"И лежал, закрыт простыней Белых крыл, грубо сломанных оземь.";"3887124ab509173c8a7d5bfc53c20d5c:4:4"
"";"йижыР";"";"Рыжий";" ";"песец перья Хитро и злобно рвал";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"Рыжий песец перья Хитро и злобно рвал из крыла.";"3887124ab509173c8a7d5bfc53c20d5c:5:0"
" ,ыроГ[";"еылеб";"[Горы,";"белые";" ";"горы.";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"Я же недвижим лежал. [Горы, белые горы.  «Курск» гулко шел к вам.";"3887124ab509173c8a7d5bfc53c20d5c:7:1"
"";"еениС";"";"Синее";" ";"небо.";"В. В. Хлебников. «Белые крылья сломав…» [Тиран без Т, 2] (1921-1922)";"В. В. Хлебников";"1885";"«Белые крылья сломав…»";"1921-1922";"художественная";"";"";"";"1987";"книга";"омонимия не снята";"";"17";"114";"Кружевом нежным и шелковым, Море кружева пеною соткано. Синее небо. У старого волка морского Книга лежала Крапоткина «Завоевание хлеба».";"3887124ab509173c8a7d5bfc53c20d5c:10:0"
