"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" ― ыньлетитихсов ацил инеТ";"еиниС";"Тени лица восхитительны ―";"Синие";", ";"черные, белые.";"О. Э. Мандельштам. «С примесью ворона — голуби…» (1937)";"О. Э. Мандельштам";"1891";"«С примесью ворона — голуби…»";"1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"10";"118";"В губы горячие вложено Все, чем Москва омоложена, Чем молодая расширена, Чем мировая встревожена, Грозная утихомирена. Тени лица восхитительны ― Синие, черные, белые. И на груди ― удивительны Эти две родинки смелые.";"e33c21de2ec83145d2289e36cd70a9f7:3:3"
" ,еиниС ― ыньлетитихсов ацил инеТ";"еынреч";"Тени лица восхитительны ― Синие,";"черные";", ";"белые.";"О. Э. Мандельштам. «С примесью ворона — голуби…» (1937)";"О. Э. Мандельштам";"1891";"«С примесью ворона — голуби…»";"1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"10";"118";"В губы горячие вложено Все, чем Москва омоложена, Чем молодая расширена, Чем мировая встревожена, Грозная утихомирена. Тени лица восхитительны ― Синие, черные, белые. И на груди ― удивительны Эти две родинки смелые.";"e33c21de2ec83145d2289e36cd70a9f7:3:4"
" ,еынреч ,еиниС ― ыньлетитихсов ацил инеТ";"еылеб";"Тени лица восхитительны ― Синие, черные,";"белые";". ";"";"О. Э. Мандельштам. «С примесью ворона — голуби…» (1937)";"О. Э. Мандельштам";"1891";"«С примесью ворона — голуби…»";"1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"10";"118";"В губы горячие вложено Все, чем Москва омоложена, Чем молодая расширена, Чем мировая встревожена, Грозная утихомирена. Тени лица восхитительны ― Синие, черные, белые. И на груди ― удивительны Эти две родинки смелые.";"e33c21de2ec83145d2289e36cd70a9f7:3:5"
" хацьлап В";"олпет";"В пальцах";"тепло";" ";"не мгновенное, Сила лежит фортепьянная, Сила";"О. Э. Мандельштам. «С примесью ворона — голуби…» (1937)";"О. Э. Мандельштам";"1891";"«С примесью ворона — голуби…»";"1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"10";"118";"В пальцах тепло не мгновенное, Сила лежит фортепьянная, Сила приказа желанная Биться за дело нетленное…";"e33c21de2ec83145d2289e36cd70a9f7:5:2"
" уксеванаЗ ― ывтсреч аволс ,икраж ыбуГ :олыб";"юулеб";"было: Губы жарки, слова черствы ― Занавеску";"белую";" ";"било, Несся шум железной листвы.";"О. Э. Мандельштам. «Средь народного шума и спеха…» (1937)";"О. Э. Мандельштам";"1891";"«Средь народного шума и спеха…»";"1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"8";"145";"Не припомнить того, что было: Губы жарки, слова черствы ― Занавеску белую било, Несся шум железной листвы.";"1ad8581129de4e423efa9a385ad5caa5:5:10"
" ,ьтам теуч И";"анреч";"И чует мать,";"черна";" ";"как ночь: Вином и луком пахнет";"О. Э. Мандельштам. «Пришла Наташа. Где была?..» [[Стихи к Наташе Штемпель], 1] (1936-1937)";"О. Э. Мандельштам";"1891";"«Пришла Наташа. Где была?..»";"1936-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"6";"25";"И чует мать, черна как ночь: Вином и луком пахнет дочь.";"4eaf54eab8b7a22af6712afd71d6da0f:5:3"
" акра игудаР";"окрЯ";"Радуги арка";"Ярко";" ";"зажглась, Милой в подарок Рыба нашлась.";"О. Э. Мандельштам. «Правлю я с честью…» (1930-1937)";"О. Э. Мандельштам";"1891";"«Правлю я с честью…»";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"30";"182";"Радуги арка Ярко зажглась, Милой в подарок Рыба нашлась.";"8db0854b9727d7b94295f779c10c1f12:5:2"
" етумо В";"менис";"В омуте";"синем";" ";"Розовый бал, Лишь бы почина Я";"О. Э. Мандельштам. «Правлю я с честью…» (1930-1937)";"О. Э. Мандельштам";"1891";"«Правлю я с честью…»";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"30";"182";"В омуте синем Розовый бал, Лишь бы почина Я не проспал.";"8db0854b9727d7b94295f779c10c1f12:10:2"
" менис етумо В";"йывозоР";"В омуте синем";"Розовый";" ";"бал, Лишь бы почина Я не";"О. Э. Мандельштам. «Правлю я с честью…» (1930-1937)";"О. Э. Мандельштам";"1891";"«Правлю я с честью…»";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"30";"182";"В омуте синем Розовый бал, Лишь бы почина Я не проспал.";"8db0854b9727d7b94295f779c10c1f12:10:3"
" В юадик ьрокЯ ,еьрозал яьромзВ юагеборп";"йонмет";"пробегаю Взморья лазорье, Якорь кидаю В";"темной";" ";"воде.";"О. Э. Мандельштам. «Правлю я с честью…» (1930-1937)";"О. Э. Мандельштам";"1891";"«Правлю я с честью…»";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"30";"182";"Я пробегаю Взморья лазорье, Якорь кидаю В темной воде.";"8db0854b9727d7b94295f779c10c1f12:26:7"
" ероМ";"еенис";"Море";"синее";" ";"Неба в апреле, Нежной макрели Нету";"О. Э. Мандельштам. «Правлю я с честью…» (1930-1937)";"О. Э. Мандельштам";"1891";"«Правлю я с честью…»";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"30";"182";"Море синее Неба в апреле, Нежной макрели Нету нигде.";"8db0854b9727d7b94295f779c10c1f12:27:1"
" итЭ ,атнел атэ отнерроС зИ";"еынреч";"Из Сорренто эта лента, Эти";"черные";" ";"глаза.";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"Из Сорренто эта лента, Эти черные глаза.";"4624c8a9534b678b9aa3fcef7bf2628c:5:5"
" вилаз адгок А";"неокопс";"А когда залив";"спокоен";", ";"Я боюсь его прогневать: Под затишье";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"А когда залив спокоен, Я боюсь его прогневать: Под затишье роковое Я с кормы гляжу на невод.";"4624c8a9534b678b9aa3fcef7bf2628c:14:3"
" итсончарзорп в И";"йонелез";"И в прозрачности";"зеленой";", ";"И в пучине разъяренной ― Черных кружев";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"И в прозрачности зеленой, И в пучине разъяренной ― Черных кружев паутина, Лента красная плывет.";"4624c8a9534b678b9aa3fcef7bf2628c:15:3"
" ― йоннеряъзар еничуп в И ,йонелез итсончарзорп";"хынреЧ";"прозрачности зеленой, И в пучине разъяренной ―";"Черных";" ";"кружев паутина, Лента красная плывет.";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"И в прозрачности зеленой, И в пучине разъяренной ― Черных кружев паутина, Лента красная плывет.";"4624c8a9534b678b9aa3fcef7bf2628c:15:8"
" атнеЛ ,анитуап вежурк хынреЧ ― йоннеряъзар еничуп";"яансарк";"пучине разъяренной ― Черных кружев паутина, Лента";"красная";" ";"плывет.";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"И в прозрачности зеленой, И в пучине разъяренной ― Черных кружев паутина, Лента красная плывет.";"4624c8a9534b678b9aa3fcef7bf2628c:15:12"
" В";"йортсеп";"В";"пестрой";" ";"ракушке улитка Равнодушна поневоле.";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"4 В пестрой ракушке улитка Равнодушна поневоле.";"4624c8a9534b678b9aa3fcef7bf2628c:18:1"
" ихулГ";"еывозор";"Глухи";"розовые";" ";"уши.";"О. Э. Мандельштам. Нина из Сорренто  («На гулянье в Пьедихотта…») (1930-1937)";"О. Э. Мандельштам";"1891";"Нина из Сорренто  («На гулянье в Пьедихотта…»)";"1930-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"24";"155";"Глухи розовые уши. Не дождусь счастливой доли.";"4624c8a9534b678b9aa3fcef7bf2628c:19:1"
" с ,И ,ьчалп и йанимопсв ,ибюЛ";"йолксут";"Люби, вспоминай и плачь, И, с";"тусклой";" ";"планеты брошенный, Подхватывай легкий мяч!";"О. Э. Мандельштам. «Я вздрагиваю от холода …» (1912-1937)";"О. Э. Мандельштам";"1891";"«Я вздрагиваю от холода …»";"1912-1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"6";"56";"Томись, музыкант встревоженный, Люби, вспоминай и плачь, И, с тусклой планеты брошенный, Подхватывай легкий мяч!";"9b33822ae431eb4cf8e8af346d8ba3d9:2:9"
" И ,ьлоб яащорп ,тировог И ,овачилев";"яабулог";"величаво, И говорит, прощая боль, И";"голубая";" ";"нитка славы В ее волос пробралась";"О. Э. Мандельштам. Стансы  («Необходимо сердцу биться…») (04.07.1937-05.07.1937)";"О. Э. Мандельштам";"1891";"Стансы  («Необходимо сердцу биться…»)";"04.07.1937-05.07.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"13";"172";"Она и шутит величаво, И говорит, прощая боль, И голубая нитка славы В ее волос пробралась смоль.";"9763bd60c1e52dd14c9ddb18127de0a0:11:9"
