"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" илибыв ыМ";"хылеб";"Мы выбили";"белых";" ";"орлов да ворон, в боях по";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Мы выбили белых орлов да ворон, в боях по степям пролетали.";"aabc77720f9bf56a2841015df64cedf5:1:2"
"";"еыньлатС";"";"Стальные";" ";"рабочие тыщи.";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Вперед, 25 [двадцать пять]! Стальные рабочие тыщи. Не жди, голодая, кулацких забот, не жди избавления с неба.";"aabc77720f9bf56a2841015df64cedf5:6:0"
" ьдашол аН";"юуньлатс";"На лошадь";"стальную";" ";"уверенно сядь, на пашне пыхти, тракторище.";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"На лошадь стальную уверенно сядь, на пашне пыхти, тракторище.";"aabc77720f9bf56a2841015df64cedf5:9:2"
"";"еыньлатС";"";"Стальные";" ";"рабочие тыщи.";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Вперед, 25 [двадцать пять]! Стальные рабочие тыщи. Батрак и рабочий― по крови родня, на фронте смешались костями.";"aabc77720f9bf56a2841015df64cedf5:12:0"
"";"еыньлатС";"";"Стальные";" ";"рабочие тыщи.";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Вперед, 25 [двадцать пять]! Стальные рабочие тыщи. Враги наступают, покончить пора с их бандой попово-кулачьей.";"aabc77720f9bf56a2841015df64cedf5:18:0"
"";"еыньлатС";"";"Стальные";" ";"рабочие тыщи.";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Вперед, 25 [двадцать пять]! Стальные рабочие тыщи. Под жнейкой машинною, жатва, вались, ― пусть хлеб урожаится втрое!";"aabc77720f9bf56a2841015df64cedf5:24:0"
"";"еыньлатС";"";"Стальные";" ";"рабочие тыщи.   [1930]";"В. В. Маяковский. Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…») (1930)";"В. В. Маяковский";"1893";"Марш двадцати пяти тысяч  («Мы выбили / белых / орлов да ворон…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"31";"192";"Вперед, 25 [двадцать пять]! Стальные рабочие тыщи.   [1930]";"aabc77720f9bf56a2841015df64cedf5:30:0"
" ,козалг урап му теащевсо евзаР";"опут";"Разве освещает ум пару глазок,";"тупо";" ";"зрячих?";"В. В. Маяковский. Новый тип  («Нос на квинте, / щелки-глазки…») (1930)";"В. В. Маяковский";"1893";"Новый тип  («Нос на квинте, / щелки-глазки…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"21";"156";"Разве освещает ум пару глазок, тупо зрячих?";"0c12f533a6693dd8d56be662531e4b37:5:5"
" ан тядиС";"хытолоз";"Сидят на";"золотых";" ";"мешках Антантовские тети.";"В. В. Маяковский. Подводный комсомолец  («Готовь, / рабочий молодой…») (1930)";"В. В. Маяковский";"1893";"Подводный комсомолец  («Готовь, / рабочий молодой…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"8";"59";"Для нас прикрыт банкирский шкаф ― и рубль не подзаймёте. Сидят на золотых мешках Антантовские тети. Пугая вражьи корабли, гудком разиньте глотку, на комсомольские рубли мы выстроим подлодку.";"9706762a11977667119cc0d35402eba4:4:2"
" в икрателорп у ,икчод йечобар у";"монсарк";"у рабочей дочки, у пролетарки в";"красном";" ";"платочке.";"В. В. Маяковский. Стихотворение одежно-молодежное  («В известном октябре / известного годика…») (1930)";"В. В. Маяковский";"1893";"Стихотворение одежно-молодежное  («В известном октябре / известного годика…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"18";"145";"Рубли завелись у рабочей дочки, у пролетарки в красном платочке.";"454e455d797bd44d1912d1bc3e49af85:7:8"
"";"яавирК";"";"Кривая";" ";"прогулов снизилась, спала.";"В. В. Маяковский. Тревога  («Сорвете производство — / пятилетку провороните…») (1930)";"В. В. Маяковский";"1893";"Тревога  («Сорвете производство — / пятилетку провороните…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"29";"182";"Срыв промфинплана преступен не менее, чем спячка в хлебозаготовках. Кривая прогулов снизилась, спала. Заметно и простому глазу.";"0aa7399c839eb13f4bcde2c6cb0f1c8c:20:0"
" ,атобар ,идИ";"онвор";"Иди, работа,";"ровно";" ";"и планно.";"В. В. Маяковский. Тревога  («Сорвете производство — / пятилетку провороните…») (1930)";"В. В. Маяковский";"1893";"Тревога  («Сорвете производство — / пятилетку провороните…»)";"1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"29";"182";"Примите против внутренних неполадок внутреннее лекарство самокритики. Иди, работа, ровно и планно. Разводите все пары!";"0aa7399c839eb13f4bcde2c6cb0f1c8c:26:2"
" и йонечяпик цевеп йокат ед-лиж";"йыря";"жил-де такой певец кипяченой и";"ярый";" ";"враг воды сырой.";"В. В. Маяковский. Во весь голос  («Уважаемые / товарищи потомки!..») (1929-1930)";"В. В. Маяковский";"1893";"Во весь голос  («Уважаемые / товарищи потомки!..»)";"1929-1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"42";"578";"И, возможно, скажет ваш ученый, кроя эрудицией вопросов рой, что жил-де такой певец кипяченой и ярый враг воды сырой.";"a8c6c7a859ce753d6a85418af72cc386:4:16"
" тяотс ихитС";"овоцнивс";"Стихи стоят";"свинцово";"-";"тяжело, готовые и к смерти и";"В. В. Маяковский. Во весь голос  («Уважаемые / товарищи потомки!..») (1929-1930)";"В. В. Маяковский";"1893";"Во весь голос  («Уважаемые / товарищи потомки!..»)";"1929-1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"42";"578";"Стихи стоят свинцово-тяжело, готовые и к смерти и к бессмертной славе.";"a8c6c7a859ce753d6a85418af72cc386:23:2"
" доп итди ман илелеВ";"йынсарк";"Велели нам идти под";"красный";" ";"флаг года труда и дни недоеданий.";"В. В. Маяковский. Во весь голос  («Уважаемые / товарищи потомки!..») (1929-1930)";"В. В. Маяковский";"1893";"Во весь голос  («Уважаемые / товарищи потомки!..»)";"1929-1930";"художественная";"";"";"";"";"книга";"омонимия не снята";"";"42";"578";"Велели нам идти под красный флаг года труда и дни недоеданий.";"a8c6c7a859ce753d6a85418af72cc386:28:4"
